CreateTime,Title,Solution
7/13/2012 ,deviation in event logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,dimm faulty,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in event logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in event logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in traffic handler statistics,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in traffic handler statistics,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in event logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in traffic handler statistics,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in traffic handler statistics,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in traffic handler statistics,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in event logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,deviation in event logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,dimm faulty,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,individual tariff file size more than 8mb drx,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,fs backup failed,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/13/2012 ,fs backup failed,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,fs backup failed,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,fs backup failed,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,fs backup failed,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,high count of processes by individual user,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,high count of processes by individual user,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,major single occurrence deviations in eventlogfile,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,high utilization of data base at axd,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,high saved tariff size in costing directory drx,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,mul nine errors present in ticketerrors log file drx,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,high active tariff size drx,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,high active tariff size drx,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/13/2012 ,mul nine errors present in ticketerrors log file drx,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,pa hanging nodes drx,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “disk space has been reduced”"
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,check service status of drzfzz in axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/13/2012 ,high active tariff size drx,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,errors in datasyncronizerlog logs,"category ""ss1"" : resolution “<no impact>”"
7/13/2012 ,datasync not happened since long,"category ""ss1"" : resolution “<no impact>”"
7/13/2012 ,major single occurrence deviations in eventlogfile,"category ""ss1"" : resolution “<no impact>”"
7/13/2012 ,datasync not happened since long,"category ""ss1"" : resolution “<no impact>”"
7/13/2012 ,physical drive and logical drive check,"category ""ss1"" : resolution “<no impact>”"
7/13/2012 ,rr2 links rrn are not in active allowed state drx,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,category: in : deviation cleared now
7/13/2012 ,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,category: in : deviation cleared now
7/13/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,category: in : deviation cleared now
7/13/2012 ,deviation in ntpq and chronyc,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,deviation in ntpq and chronyc,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,deviation in event logs,"category ""ss1"" : resolution “<no impact>”"
7/13/2012 ,deviation in event logs,"category ""ss1"" : resolution “<no impact>”"
7/13/2012 ,multiple cron job processes running at server,category: in : deviation cleared now
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,datasync not happened since long,"category: in resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,deviation in event logs,"categoryss1:: deviation due to moving, no impact on services"
7/13/2012 ,physical drive and logical drive check,"categoryss1:: deviation due to moving, no impact on services"
7/13/2012 ,high disk space on axd,"category: in resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine state”"
7/13/2012 ,datasync not happened since long,"category: in resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,errors in datasyncronizerlog logs,"category: in resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/13/2012 ,deviation in event logs,"categoryss1:: deviation due to moving, no impact on services"
7/13/2012 ,high utilization of data base at axd,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine state”"
7/13/2012 ,mul nine errors present in ticketerrors log file drx,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine state”"
7/13/2012 ,mul nine errors present in ticketerrors log file drx,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine state”"
7/13/2012 ,high active tariff size drx,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine state”"
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/13/2012 ,major single occurrence deviations in eventlogfile,"categoryss1:: deviation due to moving, no impact on services"
7/13/2012 ,high disk space on axd,category: in : deviation cleared now
7/14/2012 ,multiple cron job processes running at server,category: in : deviation cleared now
7/14/2012 ,multiple cron job processes running at server,category: in : deviation cleared now
7/14/2012 ,major single occurrence deviations in eventlogfile,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,axd stats file not updating /tmp/stat.0,category: in : deviation cleared now
7/14/2012 ,deviation in cluster processes in agdgroupmgr processstat command,category: in : deviation cleared now
7/14/2012 ,repication down for secondary db,category: in : deviation cleared now
7/14/2012 ,high disk space on axd,category: in : deviation cleared now
7/14/2012 ,check service status of drzfzz in axd,category: in : deviation cleared now
7/14/2012 ,check service status of drzfzz in axd,category: in : deviation cleared now
7/14/2012 ,check service status of drzzz in axd,category: in : deviation cleared now
7/14/2012 ,high active tariff size drx,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine state”"
7/14/2012 ,check service status of drzzz in axd,category: in : deviation cleared now
7/14/2012 ,deviation in cluster processes in agdgroupmgr processstat command,category: in : deviation cleared now
7/14/2012 ,deviation in cluster processes in agdgroupmgr processstat command,category: in : deviation cleared now
7/14/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,category: in : deviation cleared now
7/14/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,category: in : deviation cleared now
7/14/2012 ,axd stats file not updating /tmp/stat.0,category: in : deviation cleared now
7/14/2012 ,axd stats file not updating /tmp/stat.0,category: in : deviation cleared now
7/14/2012 ,high utilization of data base at axd,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,repication down for secondary db,category: in : deviation cleared now
7/14/2012 ,repication down for secondary db,category: in : deviation cleared now
7/14/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,category: in : deviation cleared now
7/14/2012 ,repication down for secondary db,category: in : deviation cleared now
7/14/2012 ,check service status of drzfzz in axd,category: in : deviation cleared now
7/14/2012 ,check service status of drzzz in axd,category: in : deviation cleared now
7/14/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,category: in : deviation cleared now
7/14/2012 ,mul nine errors present in ticketerrors log file drx,category: in : deviation cleared now
7/14/2012 ,rr2 links rrn are not in active allowed state drx,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine state”"
7/14/2012 ,high disk space on axd,"categoryss1::""traffic is normal as per trend"""
7/14/2012 ,fs backup failed,"category: in resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/14/2012 ,fs backup failed,"category: in resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/14/2012 ,fs backup failed,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,fs backup failed,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,deviation in traffic handler statistics,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,high utilization of data base at axd,"categoryss1::""traffic is normal as per trend"""
7/14/2012 ,high disk space on axd,"categoryss1::""traffic is normal as per trend"""
7/14/2012 ,mul nine errors present in ticketerrors log file drx,"categoryss1::""traffic is normal as per trend"""
7/14/2012 ,mul nine errors present in ticketerrors log file drx,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/14/2012 ,pa hanging nodes drx,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high active tariff size drx,"categoryss1::""traffic is normal as per trend"""
7/14/2012 ,high active tariff size drx,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,check service status of drzfzz in axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,mul nine errors present in ticketerrors log file drx,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high active tariff size drx,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,high count of processes by individual user,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,physical drive and logical drive check,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,high count of processes by individual user,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,high saved tariff size in costing directory drx,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,mul nine errors present in ticketerrors log file drx,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,errors in datasyncronizerlog logs,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,major single occurrence deviations in eventlogfile,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/14/2012 ,datasync not happened since long,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,datasync not happened since long,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,rr2 links rrn are not in active allowed state drx,"categoryss1::""traffic is normal as per trend"""
7/14/2012 ,rr2 links rrn are not in active allowed state drx,"category ""ss1"" : resolution “these alerts were in main screen on jliot db and not been acknowledged, now  it has been acknowledged and cleared form active db  ”"
7/14/2012 ,multiple cron job processes running at server,"category ""ss1"" : resolution “there was links moving observed now checked all links are in active stat”"
7/14/2012 ,high saved tariff size in costing directory drx,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,high count of processes by individual user,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,high count of processes by individual user,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,issue in seat0 interface,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high active tariff size drx,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,check service status of drzfzz in axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,physical drive and logical drive check,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,datasync not happened since long,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,datasync not happened since long,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,errors in datasyncronizerlog logs,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,mul nine errors present in ticketerrors log file drx,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,major single occurrence deviations in eventlogfile,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,the actdir server is not reachable drx,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,"category ""ss1"" : resolution “<no impact>”"
7/14/2012 ,major single occurrence deviations in eventlogfile,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/15/2012 ,multiple cron job processes running at server,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,multiple cron job processes running at server,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,multiple cron job processes running at server,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,deviation in ntpq and chronyc,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/15/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,check service status of drzzz in axd,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,check service status of drzfzz in axd,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,deviation in cluster processes in agdgroupmgr processstat command,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,axd stats file not updating /tmp/stat.0,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,axd stats file not updating /tmp/stat.0,"category ""ss1"" : resolution “<no impact>”"
7/15/2012 ,rr2 links rrn are not in active allowed state drx,"categoryss1::""traffic is normal as per trend"""
7/15/2012 ,rjr/jr  link status in down state,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,rjr/jr  link status in down state,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,rjr/jr  link status in down state,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,errors in datasyncronizerlog logs,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “there was network moving observed now checked all traffic and links are in fine stat”"
7/15/2012 ,rjr/jr  link status in down state,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,physical drive and logical drive check,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,rjr/jr  link status in down state,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,rjr/jr  link status in down state,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,fail close errors in rfdrinterface logs,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,datasync not happened since long,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,datasync not happened since long,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
7/15/2012 ,high disk space on axd,"category ""ss1"" : resolution “these alerts were stuck in main screen on jliot db and not been acknowledged, now it has been acknowledged and cleared form active db  ”"
